trade_time,open,high,low,close,volume
2025-06-19 09:55:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 10:00:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 10:05:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 10:10:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 10:15:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 10:20:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 10:25:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 10:30:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 10:35:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 10:40:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 10:45:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 10:50:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 10:55:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 11:00:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 11:05:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 11:10:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 11:15:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 11:20:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 11:25:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 11:30:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 13:05:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 13:10:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 13:15:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 13:20:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 13:25:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 13:30:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 13:35:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 13:40:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 13:45:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 13:50:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 13:55:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 14:00:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 14:05:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 14:10:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 14:15:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 14:20:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 14:25:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 14:30:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 14:35:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 14:40:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 14:45:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 14:50:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 14:55:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 15:00:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-20 09:35:00,1423.5800000000002,1438.0,1420.2,1436.73,3747
2025-06-20 09:40:00,1436.0,1436.0,1431.83,1433.0,1116
2025-06-20 09:45:00,1433.27,1433.4299999999998,1429.06,1430.0,820
2025-06-20 09:50:00,1430.0,1433.99,1430.0,1433.93,864
2025-06-20 09:55:00,1433.99,1435.5,1431.45,1433.51,1286
2025-06-20 10:00:00,1433.05,1434.85,1431.32,1434.82,853
2025-06-20 10:05:00,1434.7500000000002,1434.8200000000002,1431.6200000000001,1432.99,564
2025-06-20 10:10:00,1433.3,1437.0,1433.3,1436.18,1110
2025-06-20 10:15:00,1436.3799999999999,1438.66,1435.53,1436.95,1652
2025-06-20 10:20:00,1437.0,1438.0,1434.5,1438.0,819
2025-06-20 10:25:00,1438.0800000000002,1439.0000000000002,1436.1000000000001,1436.4,922
2025-06-20 10:30:00,1436.52,1438.99,1436.52,1438.3,593
2025-06-20 10:35:00,1438.0,1439.1999999999998,1437.83,1438.1699999999998,597
2025-06-20 10:40:00,1438.15,1438.35,1437.0,1437.37,403
2025-06-20 10:45:00,1437.4299999999998,1438.5,1437.32,1438.3,291
2025-06-20 10:50:00,1438.3,1440.22,1438.3,1440.18,968
2025-06-20 10:55:00,1440.18,1441.14,1439.5,1439.5,685
2025-06-20 11:00:00,1439.51,1440.9499999999998,1438.83,1438.83,486
2025-06-20 11:05:00,1438.83,1438.85,1436.5,1437.55,332
2025-06-20 11:10:00,1437.23,1438.1499999999999,1437.04,1437.68,206
2025-06-20 11:15:00,1437.2800000000002,1439.0000000000002,1437.1000000000001,1439.0000000000002,187
2025-06-20 11:20:00,1439.5,1440.0,1439.0,1439.98,366
2025-06-20 11:25:00,1439.99,1440.0800000000002,1439.44,1439.95,355
2025-06-20 11:30:00,1439.9,1439.9,1438.75,1439.16,255
2025-06-20 13:05:00,1439.98,1440.94,1439.98,1439.98,798
2025-06-20 13:10:00,1439.98,1439.98,1437.0,1437.08,581
